                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                             Generated by UCC v.2014.08f on 11 11 2015                             
                       GUCC -outdir D:\Development\ucc_2014.08zf\count_out_1                       

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
Total(CC1),Total(CC2),Total(CC3),Average(CC1),Risk,File Name
2,2,2,Low,Body.prototype.removeShape,D:\Development\1_Breakout\source\phaser.js
7,8,7,Low,Body.prototype.updateMassProperties,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,Body.prototype.applyForce,D:\Development\1_Breakout\source\phaser.js
1,2,1,Low,Body.prototype.applyForceLocal,D:\Development\1_Breakout\source\phaser.js
3,3,3,Low,Body.prototype.applyImpulse,D:\Development\1_Breakout\source\phaser.js
1,2,1,Low,Body.prototype.applyImpulseLocal,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Body.prototype.toLocalFrame,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Body.prototype.toWorldFrame,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Body.prototype.vectorToLocalFrame,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Body.prototype.vectorToWorldFrame,D:\Development\1_Breakout\source\phaser.js
9,10,9,Low,Body.prototype.fromPolygon,D:\Development\1_Breakout\source\phaser.js
4,5,4,Low,Body.prototype.adjustCenterOfMass,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Body.prototype.setZeroForce,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Body.prototype.resetConstraintVelocity,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Body.prototype.addConstraintVelocity,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,Body.prototype.applyDamping,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,Body.prototype.wakeUp,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Body.prototype.sleep,D:\Development\1_Breakout\source\phaser.js
5,6,5,Low,Body.prototype.sleepTick,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Body.prototype.overlaps,D:\Development\1_Breakout\source\phaser.js
4,4,4,Low,Body.prototype.integrate,D:\Development\1_Breakout\source\phaser.js
7,10,7,Low,Body.prototype.integrateToTimeOfImpact,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Body.prototype.getVelocityAtPoint,D:\Development\1_Breakout\source\phaser.js
6,7,6,Low,LinearSpring,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,LinearSpring.prototype.setWorldAnchorA,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,LinearSpring.prototype.setWorldAnchorB,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,LinearSpring.prototype.getWorldAnchorA,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,LinearSpring.prototype.getWorldAnchorB,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,LinearSpring.prototype.applyForce,D:\Development\1_Breakout\source\phaser.js
2,3,2,Low,RotationalSpring,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,RotationalSpring.prototype.applyForce,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Spring,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Spring.prototype.applyForce,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,TopDownVehicle,D:\Development\1_Breakout\source\phaser.js
2,3,2,Low,TopDownVehicle.prototype.addToWorld,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,TopDownVehicle.prototype.removeFromWorld,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,TopDownVehicle.prototype.addWheel,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,TopDownVehicle.prototype.update,D:\Development\1_Breakout\source\phaser.js
4,5,4,Low,WheelConstraint,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,WheelConstraint.prototype.setBrakeForce,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,WheelConstraint.prototype.setSideFriction,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,WheelConstraint.prototype.getSpeed,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,WheelConstraint.prototype.update,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,,D:\Development\1_Breakout\source\phaser.js
2,6,2,Low,Box,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Box.prototype.computeMomentOfInertia,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Box.prototype.updateBoundingRadius,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Box.prototype.computeAABB,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Box.prototype.updateArea,D:\Development\1_Breakout\source\phaser.js
2,6,2,Low,Capsule,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Capsule.prototype.computeMomentOfInertia,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Capsule.prototype.updateBoundingRadius,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Capsule.prototype.updateArea,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,Capsule.prototype.computeAABB,D:\Development\1_Breakout\source\phaser.js
15,17,15,Medium,Capsule.prototype.raycast,D:\Development\1_Breakout\source\phaser.js
2,4,2,Low,Circle,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Circle.prototype.computeMomentOfInertia,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Circle.prototype.updateBoundingRadius,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Circle.prototype.updateArea,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,Circle.prototype.computeAABB,D:\Development\1_Breakout\source\phaser.js
6,8,6,Low,Circle.prototype.raycast,D:\Development\1_Breakout\source\phaser.js
9,10,9,Low,Convex,D:\Development\1_Breakout\source\phaser.js
5,7,5,Low,Convex.prototype.projectOntoLocalAxis,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,Convex.prototype.projectOntoWorldAxis,D:\Development\1_Breakout\source\phaser.js
3,3,3,Low,Convex.prototype.updateTriangles,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,Convex.prototype.updateCenterOfMass,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,Convex.prototype.computeMomentOfInertia,D:\Development\1_Breakout\source\phaser.js
3,3,3,Low,Convex.prototype.updateBoundingRadius,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Convex.triangleArea,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,Convex.prototype.updateArea,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Convex.prototype.computeAABB,D:\Development\1_Breakout\source\phaser.js
3,4,3,Low,Convex.prototype.raycast,D:\Development\1_Breakout\source\phaser.js
6,11,6,Low,Heightfield,D:\Development\1_Breakout\source\phaser.js
4,4,4,Low,Heightfield.prototype.updateMaxMinValues,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Heightfield.prototype.computeMomentOfInertia,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Heightfield.prototype.updateBoundingRadius,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,Heightfield.prototype.updateArea,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Heightfield.prototype.computeAABB,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Heightfield.prototype.getLineSegment,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Heightfield.prototype.getSegmentIndex,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Heightfield.prototype.getClampedSegmentIndex,D:\Development\1_Breakout\source\phaser.js
2,5,2,Low,getLineSegmentsIntersection,D:\Development\1_Breakout\source\phaser.js
5,5,5,Low,Heightfield.prototype.raycast,D:\Development\1_Breakout\source\phaser.js
