                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                              Generated by UCC v.2014.08f on 12 1 2015                              
ucc.exe -dir d:\Development\GitHub\Breakout\source\ -extfile JavaScript -outdir d:\Metriken\count_out_6\

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
Total(CC1),Total(CC2),Total(CC3),Average(CC1),Risk,File Name
2,2,2,Low,PrismaticConstraint.prototype.enableMotor,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,PrismaticConstraint.prototype.disableMotor,d:\Development\GitHub\Breakout\source\\phaser.js
3,3,3,Low,PrismaticConstraint.prototype.setLimits,d:\Development\GitHub\Breakout\source\\phaser.js
3,4,3,Low,RevoluteConstraint,d:\Development\GitHub\Breakout\source\\phaser.js
3,3,3,Low,RevoluteConstraint.prototype.setLimits,d:\Development\GitHub\Breakout\source\\phaser.js
7,9,7,Low,RevoluteConstraint.prototype.update,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,RevoluteConstraint.prototype.enableMotor,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,RevoluteConstraint.prototype.disableMotor,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,RevoluteConstraint.prototype.motorIsEnabled,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,RevoluteConstraint.prototype.setMotorSpeed,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,RevoluteConstraint.prototype.getMotorSpeed,d:\Development\GitHub\Breakout\source\\phaser.js
2,4,2,Low,AngleLockEquation,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,AngleLockEquation.prototype.computeGq,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,AngleLockEquation.prototype.setRatio,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,AngleLockEquation.prototype.setMaxTorque,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,ContactEquation,d:\Development\GitHub\Breakout\source\\phaser.js
2,3,2,Low,ContactEquation.prototype.computeB,d:\Development\GitHub\Breakout\source\\phaser.js
4,4,4,Low,Equation,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Equation.prototype.update,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Equation.prototype.gmult,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Equation.prototype.computeB,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Equation.prototype.computeGq,d:\Development\GitHub\Breakout\source\\phaser.js
